Data: time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
25897.078309498,31.26001207,-100.31271903,31903.85,0.16,17.7,0x96a
25897.115134867,31.38073265,-100.39761462,13777.83,0.0,9.7,0xa2a
25897.155636547,31.23141796,-100.24584106,18480.51,0.45,10.7,0xb2a
25897.155745115,31.03334834,-100.08416119,22355.03,0.07,13.8,0xa2e
25897.156919764,33.72329153,-102.11758465,19899.91,1.9,-9.1,0x92a
25897.157000153,33.60772412,-101.99639457,23008.93,1.36,-6.6,0xba0
25897.189387016,30.40786959,-99.65169974,29062.32,0.38,16.6,0xa0e
25897.322255147,31.23227863,-100.17840698,20616.39,0.0,7.4,0xa2a
25897.342637129,31.21570356,-100.15863837,22349.29,0.6,21.1,0xa6a
25897.405533148,31.23886442,-100.23743857,8801.63,0.57,20.4,0x36a
25897.405955144,33.53662928,-100.82473699,134333.44,1.48,9.9,0x82e
25897.608881477,33.3780039,-102.16068933,93298.72,0.03,0.3,0x94a
25897.671104637,31.28353691,-100.37947202,12979.32,0.43,11.8,0xb0e
25897.986478507,33.19341953,-98.27214161,17536.23,0.01,14.1,0xa2a
25898.082387388,31.8386175,-99.29397427,12992.04,0.04,12.1,0xb2a
25898.112823168,32.12347784,-99.67682265,37723.41,0.69,13.6,0xba0
25898.114687205,29.67877544,-96.68618677,131473.38,0.05,18.5,0xb0c
25898.14807649,33.17786779,-98.29925293,10560.23,0.04,18.2,0xa2e
25898.206782985,31.86354727,-99.27136464,38652.09,0.09,22.0,0xb4c
25898.208561088,31.85995391,-99.26576864,15268.77,0.0,14.0,0xb2a
25898.21138929,31.85368399,-99.25861223,12008.79,0.07,22.9,0xb6e
25898.226465719,33.69752421,-101.98927427,18985.35,0.65,-12.1,0x8aa
25898.23092379,31.89698853,-99.31399951,8424.65,1.25,11.5,0x32a
25898.274933778,33.84340195,-101.55445146,23172.94,0.03,-7.3,0x1aa
25898.360468246,31.89912225,-99.31360574,13324.54,1.8,17.5,0xb2a
25898.366527663,31.8603859,-99.24457352,16986.48,0.16,11.7,0x32a
25898.409074051,31.85389359,-99.2233208,10261.27,0.1,14.8,0x32e
25899.962134111,33.66928592,-101.69322014,8043.26,0.24,9.0,0x516
25900.274170076,33.49988116,-102.05765765,51613.79,0.08,0.9,0x98c
25900.40935223,33.94962737,-101.92551453,63478.2,1.01,1.5,0xcc8
25900.440582952,33.8457799,-101.74219932,41437.72,1.31,7.0,0x1d4
25901.372034994,31.4845737,-100.12071335,7456.12,0.37,11.7,0xa2a
25901.401783641,31.53042634,-100.15906416,8129.37,0.1,9.6,0xb22
25901.434028827,31.41464399,-100.15977413,11388.75,1.82,9.4,0xb0a
25901.441667322,31.42868742,-100.17170595,13301.63,0.16,11.2,0xb2a
25901.443175815,31.42876592,-100.17203266,8688.22,0.2,14.1,0xb26
25901.46186477,31.40216486,-100.17792663,14377.16,0.21,14.7,0xb2a
25901.524997228,31.30770441,-100.05803817,13297.57,0.61,8.0,0xb0a
25901.540136307,31.39865937,-100.1101254,9816.22,0.23,10.0,0x32a
25901.550808312,31.48165774,-100.15794857,7493.68,1.67,10.7,0x32a
25901.552665315,31.39880942,-100.09962761,9444.61,0.25,9.3,0x32a
25901.558599679,31.39739485,-100.09480124,13530.83,0.3,16.4,0xb2a
25901.57646505,31.3763753,-100.08073669,12511.33,0.04,12.7,0xb2a
25901.673501442,31.10553412,-99.86338754,12273.81,0.7,14.3,0x32e
25901.767099871,31.56839061,-100.14326931,11134.34,0.47,9.3,0x32a
25901.783598042,31.54565228,-100.10434397,13648.5,0.16,11.2,0xb2a
25901.784746089,31.5375472,-100.09563819,14201.41,0.04,12.0,0xb2a
25902.344436263,34.6665476,-103.35236267,46183.91,0.03,15.0,0x742
25902.435580557,31.26290429,-100.18749357,20482.77,0.16,10.7,0xb2a
25902.440350304,31.26752743,-100.2093653,26583.64,0.75,9.4,0xf0a
25902.580300206,31.2594663,-100.20473706,15926.41,0.01,11.3,0xa2a
25902.671430215,31.25423012,-100.23234951,20678.0,0.11,10.2,0xa2a
25902.671548891,34.62390343,-103.48415104,219006.5,0.81,15.8,0x9e0
25902.730603356,31.34295841,-100.18792869,18877.61,1.46,14.2,0xb6e
25902.730640926,33.47786975,-102.03412604,71554.34,0.35,2.9,0x992
25903.694027549,31.16066805,-100.30756186,22978.77,0.0,10.0,0xa2a
25903.766199652,31.15181079,-100.30083715,26514.79,0.22,13.4,0xa2a
25903.90014637,31.1276507,-100.28204095,17165.86,0.11,18.3,0xb6c
25903.907734372,30.51804891,-102.73980872,91041.47,0.11,12.7,0x8ac
25904.015031728,31.22483538,-100.3352093,15508.16,0.94,18.3,0x36e
25904.015231401,31.35999174,-100.42858506,24474.01,1.44,17.7,0x968
25904.016644326,33.33746708,-101.71724808,56199.45,1.57,-4.2,0xa0e
25904.026139196,33.12909002,-98.27959734,16197.77,0.06,17.1,0xb6e
25904.088913693,30.52661114,-100.02606365,36005.11,0.09,25.3,0x9e0
25904.08936596,31.09919891,-100.21162845,23059.47,1.26,21.4,0x96c
25904.141658156,33.5847237,-102.13004932,32819.67,1.09,-6.6,0x98a
25904.179285952,34.69898619,-101.96074795,112685.03,1.15,4.6,0xaa4
25904.197114868,33.78097001,-101.93831892,16986.58,1.01,-7.6,0x16a
25904.380777983,33.66146113,-101.76349132,7891.26,0.24,-9.3,0x98a
25904.851814832,31.83382218,-99.23516639,15603.36,0.27,12.4,0xb2a
25904.922857942,31.91592945,-99.28079154,10422.59,1.55,10.2,0x32a
25904.961279502,31.83657136,-99.16253146,20850.89,0.26,15.6,0xb2a
25907.461092717,34.652758,-101.80769716,92343.8,1.45,6.8,0x29c
25908.267061532,31.18983598,-100.31900972,17073.72,0.06,13.3,0xb2a
25908.543586131,33.40976571,-101.94267846,45842.93,0.1,-0.6,0xab0
25908.61090491,31.17506427,-100.31810894,30595.05,1.73,10.2,0xb2a
25908.843622691,31.25418955,-100.29954939,22353.7,0.06,9.9,0x92a
25908.938617926,31.36454417,-100.28772294,12861.1,0.27,14.7,0xb2e
25909.032382313,31.37503164,-100.24062597,12498.4,0.52,11.0,0xb0e
25909.046507635,31.38996289,-100.25219906,15793.3,0.28,14.7,0x96a
25909.185196608,31.24124492,-100.3491747,11132.19,0.33,14.3,0xb6e
25909.780649967,33.40344813,-102.1974472,17503.2,1.83,4.4,0x878
25910.060009413,33.38041406,-101.73285546,39290.49,0.81,2.3,0x6c8
25910.197998792,33.48898879,-101.85837152,11879.39,0.22,-6.7,0x866
25910.543501383,34.78494679,-103.00994469,43132.85,0.36,9.6,0x6c8
25911.404486295,32.22384205,-98.75770213,9664.49,1.4,13.4,0x32a
25911.495469583,32.24354085,-98.71161561,10860.12,0.74,13.7,0x32e
25911.517174989,32.14479847,-98.69906382,18089.49,0.4,13.9,0xb2a
25911.54086479,32.20266438,-98.76422696,11744.07,0.64,11.9,0xb2a
25912.215729179,31.80301545,-99.26472336,9632.47,0.24,13.8,0x32e
25912.222583503,31.77129449,-99.2223939,16017.84,0.43,10.9,0x32a
25912.23461627,31.81614243,-99.28586096,31143.37,0.25,13.7,0xa2a
25912.236245017,31.78156336,-99.23952877,14453.21,0.32,18.4,0xb2e
25912.236660305,31.78306284,-99.24146015,14509.59,0.22,17.1,0xb6e
25912.270084438,31.76052174,-99.19684692,18629.18,0.03,11.5,0x32a
25912.492952916,31.08119426,-98.27715861,56675.41,1.88,16.0,0x362
25912.749294087,33.16250666,-98.31504649,10764.06,0.23,15.5,0xb2a
25912.972830356,33.26526548,-99.35153554,24574.51,0.89,8.2,0xb0a
25912.986650529,33.52990407,-101.89257735,32957.7,0.4,-1.1,0xb84
25913.039629243,33.34401861,-98.32363959,16161.39,0.01,9.1,0x32a
25913.098211261,33.17416896,-99.06363701,23821.07,1.28,7.6,0xb0a
25913.122065465,32.94850537,-98.18858552,16350.7,1.02,15.2,0x92e
25913.277512675,33.94003163,-101.88246691,10469.09,1.54,-6.9,0x2b8
25913.314733293,33.00433413,-98.45134366,21979.71,0.26,8.1,0xb0a
25913.402387955,31.26285553,-100.2350546,13899.1,0.0,18.5,0xb2a
25913.474891891,31.28269305,-100.16841065,10283.04,0.09,14.7,0xa2e
25913.540022984,31.38462707,-100.32446553,26682.49,0.5,8.9,0xa2a
25913.542468597,31.27789904,-100.24032314,12847.51,1.02,10.4,0xb0a
25913.543588707,31.29711692,-100.25364663,23060.39,0.03,11.4,0xa2a
25913.569234127,31.25241728,-100.21412825,20078.18,0.01,7.9,0xa2a
25913.696627967,31.3773241,-100.16404732,8795.94,0.22,8.6,0xa2e
25913.697240177,31.37967096,-100.16608733,7773.57,0.66,16.2,0x36c
25913.706980084,31.3941175,-100.16960417,14178.86,0.44,13.2,0xb2e
25914.644421989,31.85437271,-99.24469255,18602.02,0.33,10.5,0xb2a
25914.695837142,31.88437773,-99.28985528,10465.89,0.89,13.5,0x32a
25914.907801876,31.86372422,-99.28692952,9444.45,0.24,14.0,0xb2c
25915.014364723,33.17595873,-98.26111875,16390.73,0.05,12.9,0xb2a
25915.169419149,34.64652992,-102.41630814,84372.33,0.71,7.6,0x9a4
25915.171532843,33.68371136,-101.840827,25965.07,0.47,-7.2,0xb48
25915.336939708,33.78017205,-101.35050295,32478.53,0.72,-0.1,0x9a2
25916.387216584,33.19592648,-98.30660951,18835.0,0.0,14.5,0x32a
25916.388052765,33.19677243,-98.32851753,10747.43,0.07,11.0,0x32a
25916.39826456,31.99766016,-99.25030724,13376.55,0.11,16.1,0xb6e
25916.438506701,31.9164028,-99.14124615,9605.86,0.86,16.9,0x32e
25916.455129369,33.74515948,-101.23222761,12111.75,0.22,-4.6,0x38a
25916.468733872,32.01424005,-99.32273574,8166.21,1.08,12.7,0x32a
25916.479985872,33.66270178,-100.77785425,17541.05,0.5,3.5,0x30e
25916.49432792,33.19717832,-98.33078388,14749.05,0.2,11.5,0x32a
25916.663919674,33.96775794,-102.41319882,17145.45,1.77,-6.0,0xb0a
25916.676582079,31.98620512,-99.29049508,14991.4,0.08,18.3,0xb2a
25916.682261249,33.82980815,-101.86936773,30078.41,0.49,-11.2,0xb0a
25916.711387634,31.99994264,-99.23157741,17556.82,0.13,12.4,0x32a
25916.719772399,31.88224328,-99.03437094,16205.98,0.19,17.0,0x8ee
25917.145058699,33.44480206,-102.15382587,19349.47,0.47,1.4,0x1ac
25917.253418572,33.85051343,-102.32028576,17810.89,0.17,-8.8,0xa62
25917.433436084,27.04766682,-101.23543188,365016.41,1.49,23.5,0x98c
25917.578889009,32.94982673,-102.64908742,241654.42,0.02,12.3,0x9a8
25918.375419471,33.68330962,-101.96707591,1949.8,0.08,-2.8,0x698
25918.515910337,31.811767,-99.26746634,17369.54,0.04,11.0,0x32a
25918.520097016,33.5838563,-101.55013868,10750.11,1.26,-6.2,0xac2
25918.567954562,31.8289898,-99.27210519,14722.05,0.2,17.0,0x36e
25918.588478658,31.85707411,-99.30310916,19461.79,1.01,11.3,0x32a
25919.112129044,34.49985333,-102.60896605,123196.4,1.61,2.1,0xe88
25919.731751375,31.30699286,-100.22778135,14518.74,0.1,18.1,0x94e
25919.753496549,33.6645121,-102.113845,49618.55,1.2,5.8,0x81e
25920.086846199,33.87080059,-101.94522519,3906.29,1.06,-5.6,0x8ac
25920.282942391,33.84433421,-101.89763292,25810.25,1.64,7.1,0x94c
25920.318917606,35.15258545,-104.07791763,146368.08,1.96,14.3,0xad0
25920.396701213,33.80505044,-101.54790702,1720.15,1.17,-9.8,0x30e
25920.619792482,33.76070276,-101.71015354,9363.83,1.27,-7.5,0x1b4
25920.694506595,33.35724389,-102.00188467,22768.97,0.01,1.5,0xa4c
25920.836236859,33.61514947,-101.76587794,9733.54,0.57,-10.1,0x82e
25920.961551967,31.85452811,-99.18384403,8797.12,0.23,16.9,0xb2a
25920.985481226,31.84891171,-99.16322988,9743.85,0.55,14.2,0x32e
25920.990523633,31.85532747,-99.16282382,9029.11,0.09,13.5,0x32a
25920.991121601,31.79495788,-99.07595586,19154.85,0.77,13.1,0xb28
25921.155494803,31.85604712,-99.21214417,10005.39,0.28,13.2,0xb2a
25921.223201898,31.20787598,-100.23409853,9731.5,0.06,17.1,0xa2e
25921.270987707,31.21004063,-100.22885082,12887.06,0.06,16.4,0xb6a
25921.346353132,31.18909651,-100.24119706,8584.5,0.75,15.5,0xb46
25921.351858867,31.17202568,-100.19184436,20457.08,0.1,11.1,0xb2a
25921.363338798,31.10249791,-100.21716793,19225.09,0.02,10.3,0xb2a
25921.39949282,32.97217044,-101.38503629,68349.2,0.37,6.7,0x926
25921.537991534,31.28792334,-100.34542744,9689.66,0.64,9.8,0x32a
25921.554563133,31.22542339,-100.30332078,15604.09,0.02,11.6,0xb2a
25921.557750065,31.2224144,-100.30463706,14703.34,0.24,11.6,0xb2a
25921.653181713,33.20798459,-101.07044629,37942.57,0.06,2.5,0xb18
25921.686677995,31.26103467,-100.33557084,11863.13,0.15,14.3,0xb6e
25921.708605524,33.7723653,-101.38992518,9068.29,1.48,-6.8,0x38a
25921.730498942,31.31257432,-100.33588715,12229.17,0.37,15.4,0xb6e
25921.770070818,31.30122349,-100.33148482,18465.98,0.08,10.6,0xb2a
25921.985108327,31.28898937,-100.3381583,14297.6,0.37,13.6,0x32e
25921.985442601,31.31976914,-100.34365983,22600.06,0.07,9.0,0xa2a
25921.985937476,31.31723006,-100.36184083,17456.57,0.27,9.5,0xb2a
25921.986440997,31.31788498,-100.36050965,20008.35,0.66,14.2,0xb2a
25921.986505932,31.32540921,-100.34869726,12623.13,0.0,10.9,0xa0e
25921.986890612,31.31724727,-100.34579136,14770.34,0.48,10.8,0xb2a
25921.98743917,31.33299212,-100.3702832,22308.07,0.67,7.0,0xa2a
25921.987560175,31.31761498,-100.34214546,24046.14,0.12,8.6,0xa2a
25922.012358436,34.28537758,-102.39839622,128763.0,1.37,6.9,0x52c
25922.183016113,33.6888527,-101.99358462,15881.57,0.76,1.1,0x598
25922.988026809,32.99298493,-101.67083512,64841.7,0.02,2.0,0x8e8
25923.430641488,33.92017196,-98.11021314,11011.17,0.5,11.4,0x32a
25923.574033264,31.82903125,-100.94884212,112474.81,1.82,19.7,0x7c0
25923.956657456,32.28743056,-98.70355252,19280.5,0.05,9.7,0x32a
25924.440890219,34.08082897,-100.61028423,181150.79,1.15,6.2,0xf08
25925.448153591,31.35686795,-100.26813465,8437.18,0.05,11.5,0xb2a
25925.45197091,31.39711413,-100.27139486,8081.04,0.23,13.7,0xb2c
25925.453979751,31.39229091,-100.2769595,12941.65,0.27,12.9,0xb2a
25925.454104186,31.34964045,-100.2465151,21300.51,0.33,7.7,0xb0a
25925.461413169,31.38747656,-100.34262131,31175.9,0.62,9.0,0xb2a
25925.548712224,31.41265204,-100.26284728,15500.76,0.02,10.4,0xb2a
25925.593306913,31.4272545,-100.23456708,10279.19,0.41,10.1,0xb2a
25925.648867298,31.42665559,-100.18284382,13467.8,0.07,10.3,0xa2a
25925.706860248,31.38560526,-100.1216918,15235.71,0.01,14.4,0xb2a
25925.726440434,31.38778339,-100.11629684,8236.67,0.31,14.3,0x36a
25925.749457501,31.42969429,-100.08625786,12999.91,0.26,13.7,0x32e
25925.834285834,31.38825173,-100.30077349,8148.18,0.04,10.7,0xa2e
25925.861933867,31.43752847,-100.31810842,8584.24,0.3,10.2,0xb2a
25925.869561188,31.42189867,-100.31649767,11344.98,0.07,13.3,0xb6a
25925.89031645,31.42688264,-100.2787621,7987.17,0.21,12.6,0xb2c
25925.892139228,31.46260764,-100.31800179,19735.79,0.2,10.4,0xb2a
25925.900534504,31.46915658,-100.31227186,15478.2,0.08,11.1,0xb2a
25925.910831782,31.46188052,-100.29818897,18597.97,0.01,9.5,0xb2a
25925.919981686,31.4956099,-100.31251195,9536.46,0.29,15.1,0xb4e
25925.927014366,31.49544476,-100.31008237,32295.06,0.13,10.7,0xa2a
25925.927662169,31.46793402,-100.36054757,8894.15,0.03,14.2,0xb2a
25925.928698152,31.56719778,-100.35436856,38057.23,0.03,7.6,0x92a
25925.932922492,31.49659186,-100.30494525,7848.54,0.51,10.2,0x32a
25925.9337808,31.4549948,-100.35224875,13050.77,1.85,9.3,0xb2a
25925.936062854,31.47664829,-100.28821502,11367.37,0.49,11.4,0xb2a
25925.944936561,31.46715979,-100.36993729,14084.73,0.23,16.3,0xb2a
25926.313252114,33.91449418,-102.59823551,19538.03,0.84,-1.6,0x92a
25927.2997094,33.58448868,-101.55762244,32997.87,0.06,5.5,0x496
25928.185955343,33.61329056,-102.37723967,56689.62,0.28,-3.8,0x8b8
25928.55322113,33.4725037,-102.14607282,17678.3,1.73,-5.6,0xb88
25928.570544635,31.77215049,-99.05259396,24699.81,0.77,12.2,0xb28
25928.935577356,31.18360952,-100.34443611,15221.61,1.0,11.6,0xb0e
25928.944145316,32.27381832,-104.15454492,127947.76,0.02,7.1,0xa0e
25928.9526878,31.16919428,-100.32836734,18309.12,0.8,21.8,0xb2a
25928.961140391,31.16154789,-100.32036974,18090.22,0.22,23.3,0xb2a
25928.965444449,31.12986438,-100.29440489,21205.14,0.56,20.6,0xb6e
25928.976184641,31.16914713,-100.31811861,19759.03,0.23,17.1,0xb2a
25929.035750682,31.11539333,-100.30687936,19070.08,0.66,11.1,0xb2a
25929.055650722,31.18264509,-100.35140952,17339.96,0.89,8.3,0xa2a
25929.080302842,33.30435831,-98.09486641,11806.67,0.44,14.7,0xa2e
25929.090412404,31.08788273,-100.30460609,16809.74,0.68,20.7,0xb2a
25929.109555425,29.27061238,-99.21131988,60057.7,0.0,20.1,0xa8a
25929.110077055,31.07481762,-100.30206919,18872.64,0.03,15.0,0xa2a
25929.111139451,33.16400653,-101.61490563,43671.18,1.84,5.4,0x94c
25929.256699766,31.22667877,-100.37855714,14292.98,0.11,11.0,0xb2a
25930.343028225,31.88401759,-99.27334116,11202.12,1.37,11.7,0xb2a
25930.344642844,31.83700267,-99.2400176,11940.89,0.18,16.6,0xb6e
25930.423505821,31.87963604,-99.28853212,8310.06,1.79,17.3,0x32e
25930.453600785,31.89830218,-99.34626059,14877.56,1.12,18.3,0xa6e
25930.484419344,31.83734948,-99.26279025,17537.07,0.62,22.2,0xb2a
25930.582105871,33.39382274,-99.27100984,53759.11,0.05,13.5,0x9a2
25930.643273645,33.28765353,-98.80682425,19772.68,0.41,10.9,0x32a
25930.659797675,31.86377832,-99.26120397,12561.31,0.46,18.4,0xb2a
25931.287780968,33.56170831,-101.97122157,54942.91,0.93,-2.6,0xca8
25931.297097858,31.26910566,-100.19935474,11432.19,0.22,9.2,0xb2a
25931.357236686,31.2116622,-100.14064051,14172.08,0.43,16.3,0x96a
25931.373972203,31.26548419,-100.1921174,18713.88,0.47,10.4,0xb2a
25931.389164582,31.2126262,-100.11556945,9527.5,0.8,10.8,0xb28
25931.400262832,31.2510944,-100.14109947,9622.85,0.82,10.3,0x32a
25931.418404287,32.64605818,-101.3986206,171908.3,0.0,7.5,0xb0c
25931.418969719,31.2692631,-100.18893333,16948.78,0.33,15.5,0xb2a
25931.423854493,31.21296133,-100.14644556,14536.07,0.73,8.6,0xa2a
25931.425654831,31.26361342,-100.18021424,19733.63,0.97,11.9,0xb2a
25931.509662555,31.28995997,-100.2132207,19708.88,1.17,13.7,0xb2a
25931.549884111,31.26148497,-100.21197532,16363.94,1.01,11.6,0xb2a
25931.672795574,31.24951532,-100.17823412,10905.06,0.62,27.9,0x3e8
25931.673620043,33.63551935,-101.61544829,36257.06,1.06,9.3,0x8e4
25931.727194991,28.27081137,-98.42873494,40251.77,0.53,29.9,0x2ca
25931.729113711,33.53915874,-101.96589907,3496.04,0.43,-10.0,0xa68
25931.739906885,33.12125652,-101.4229301,67201.05,1.21,2.8,0x526
25931.816335861,31.32586588,-100.14185131,11469.92,0.15,15.6,0xb6e
25931.830446355,31.71447673,-99.0766992,13505.64,1.45,21.2,0xb2a
25931.839582026,31.28180246,-100.14133787,8601.02,0.4,13.8,0xb26
25931.840212302,31.38582276,-100.18606059,16189.35,0.44,14.6,0xb2e
25931.860940541,31.75345086,-99.145926,29694.71,0.35,15.7,0x92a
25931.884144536,31.28362794,-100.09548964,21790.85,1.14,10.7,0xb2a
25931.905679698,31.22510227,-100.04931386,19644.2,0.95,14.6,0xb2a
25932.038650647,31.74829681,-99.13704961,9482.59,0.07,13.1,0x92c
25932.113461622,33.38501388,-101.7790681,20385.76,1.04,-1.4,0x5c4
25932.453286748,33.76498506,-101.27415838,20778.78,0.04,6.1,0xac4
25933.874621476,33.90561839,-101.68482413,12568.78,0.0,-5.6,0xf10
25933.875574706,31.55387537,-100.28442918,17947.26,0.16,6.6,0xa2a
25933.882355194,31.3322451,-106.63604115,1175220.57,1.12,19.4,0xa92
25933.88857179,33.34873857,-101.57044059,56642.9,0.01,-1.2,0x926
25933.897111601,31.50358991,-100.25723981,9660.69,0.1,13.2,0x32e
25933.903747503,31.507862,-100.2720844,19067.38,0.01,9.9,0xb2a
25933.910218258,31.55867127,-100.31177644,10129.98,0.84,9.0,0x32a
25933.911075367,31.53739685,-100.22078574,11572.55,0.34,13.9,0x32e
25933.912650274,31.52893035,-100.28990912,12564.22,0.09,10.0,0xb2a
25933.921087134,31.5347801,-100.21802459,18526.95,0.06,8.7,0xb2a
25933.923669411,31.54454547,-100.31011041,6729.21,0.18,9.5,0xb2a
25933.929950933,31.52460661,-100.29508457,15732.82,0.19,9.1,0xb2a
25933.930895539,31.60861509,-100.2576205,18198.99,0.13,8.5,0xa2a
25933.93710686,33.59671363,-102.05810917,11262.19,1.22,-12.0,0xa1a
25933.960437652,31.6156374,-100.22135055,14617.57,0.19,11.0,0xb6a
25933.999457249,27.33817493,-97.07679359,262624.47,1.81,20.7,0x32c
25934.005113286,31.57519508,-100.13156229,20149.21,0.3,10.8,0x32a
25934.023382771,31.51181376,-100.29197239,15314.82,0.06,15.7,0xb6e
25934.038415699,31.56682757,-100.09540533,10852.67,0.13,9.2,0xb2a
25934.060341128,31.74853629,-100.30596333,10511.47,0.1,10.5,0x22e
25934.071829729,31.61758278,-100.09036063,30938.35,0.35,9.4,0x32a
25934.085219021,31.64862611,-100.23489957,11324.63,0.22,12.7,0xa2e
25934.091732804,31.91854738,-100.45403372,9603.74,0.08,11.0,0x22e
25934.096805972,31.68787118,-100.16889112,17002.88,0.45,10.8,0xb2a
25934.116284321,31.70226485,-100.15442801,11943.05,0.43,8.6,0xb0a
25934.11982019,31.6339449,-100.07580924,10808.83,0.1,12.2,0x32e
25934.132347528,31.70999785,-100.14246529,9389.74,0.15,15.0,0xb6e
25934.135209429,33.70576571,-101.80998667,30474.13,1.76,-4.5,0x136
25934.148095934,31.78161606,-100.18720078,10935.82,0.0,12.1,0x22e
25934.270407369,32.88347443,-98.35156718,13290.07,0.58,13.4,0x32e
25934.275123389,31.49798458,-100.23132235,13206.56,0.09,7.3,0xa2a
25934.286915212,31.43214199,-100.17159614,19264.63,1.1,12.1,0x32e
25934.294496106,31.45798704,-100.22382552,15142.03,0.33,9.6,0xb2a
25934.39492637,29.25144085,-81.49304441,561067.58,0.01,26.4,0x82e
25934.402273955,29.85554117,-99.09718378,123711.77,0.07,16.2,0x32c
25934.416202751,31.84302786,-100.44856035,5418.15,0.76,13.8,0x26a
25934.418471826,31.60150605,-100.25957954,17558.5,0.23,8.0,0x32a
25934.419934314,31.61104526,-100.27404945,6631.72,1.03,11.5,0xb2e
25934.420148426,31.60877714,-100.26702362,10787.39,0.13,14.7,0xb0e
25934.421045848,31.59201837,-100.29270622,11809.95,0.24,13.4,0xb2e
25934.426110819,31.61579833,-100.2710932,11023.2,0.17,13.1,0xb2e
25934.430290242,31.58168299,-100.29008904,11818.33,0.16,12.6,0xb2e
25934.431594638,31.60632921,-100.26314457,10038.3,0.14,15.3,0xb2e
25934.46159658,31.63753002,-100.27193034,11611.25,0.19,11.8,0xb2e
25934.48142619,31.64488427,-100.27023009,16198.56,0.03,10.5,0xb2a
25934.48189831,31.69184947,-100.31131398,17494.68,0.36,7.7,0xa2a
25934.493210252,31.65136654,-100.27181687,9852.5,0.17,21.1,0xb6a
25934.910044259,33.75499566,-100.64702424,160872.64,0.25,9.2,0x2d2
25935.044985184,33.18576691,-101.77683218,38439.23,0.22,1.4,0xa94
25935.075394645,31.90960033,-99.28367504,8685.75,0.34,13.3,0x32e
25935.107370749,33.5575364,-98.92436422,15619.87,0.01,8.4,0x32a
25937.021434035,34.15507322,-101.66853046,54688.73,0.0,-2.0,0xa26
25937.7155558,33.74696804,-102.73571503,16851.23,1.91,13.8,0xd44
25938.126662625,31.16296513,-100.45995001,17240.32,0.08,13.2,0xb2e
25938.138321025,31.18289858,-100.46492857,21588.31,0.81,11.2,0xb2a
25938.143540069,30.9889984,-100.34417393,23470.38,0.0,8.4,0xa2a
25938.148188603,31.1666936,-100.4530925,11232.4,0.22,9.8,0xb2a
25938.149510398,31.13041887,-100.39651213,18823.91,1.41,9.1,0xb0a
25938.152115924,31.17847351,-100.45569037,8575.66,0.2,7.7,0xa2a
25938.173864644,31.20555196,-100.49044838,13410.92,0.0,8.1,0xa2a
25938.248602786,33.25459485,-98.55929783,19683.23,0.02,10.0,0x32a
25938.251696797,33.48819239,-99.78211563,20745.63,1.54,8.8,0xb0a
25938.361993664,33.67789231,-100.80887324,16956.0,1.29,4.6,0xb0a
25938.430512482,31.21260197,-100.59943215,13658.56,0.14,10.4,0xa2a
25938.606722391,32.18474522,-98.7522185,9622.45,0.68,10.9,0x32a
25938.88394332,31.29079283,-100.18987815,14223.43,0.02,11.5,0xb2a
25939.014355249,31.2923182,-100.27186212,20101.52,0.02,9.8,0x92a
25939.017781492,31.3214985,-100.29082337,21514.93,0.38,10.0,0xa2a
25939.333315124,31.42720306,-100.36062654,22140.97,1.62,13.9,0x34e
25939.334135648,33.7608727,-101.86689257,8766.27,0.48,-11.6,0xa38
25939.397514327,32.03527673,-100.80376945,85052.42,0.23,8.6,0x90e
25939.445089091,32.10480326,-99.23017291,293159.79,1.93,12.5,0x84e
25939.446295951,33.35233112,-102.65435437,109795.19,0.97,11.4,0x90e
25939.517076553,31.40312797,-100.31929441,12000.42,1.49,11.8,0xb2a
25939.529535338,31.25734984,-100.22740897,16677.66,0.07,8.9,0xa2a
25939.655169254,33.18028487,-98.30518429,11204.04,0.36,12.5,0x32a
25939.710132635,31.2590833,-100.34404417,13790.18,0.03,10.7,0xb2a
25939.719161253,31.31682221,-100.37874633,13278.4,0.33,17.2,0xb6e
25939.722489075,31.06827321,-100.03021992,24784.03,0.27,19.5,0x968
25939.730633149,31.26819611,-100.34535242,13252.67,0.01,11.6,0xb2a
25939.731045096,33.70180125,-101.91932267,24891.61,0.97,-11.9,0x30e
25939.906347308,33.16962757,-98.28052924,17825.28,0.68,20.3,0xb6e
25940.143328029,33.14790293,-98.19681539,11407.94,1.32,17.7,0xb2a
25940.150913726,31.18133829,-100.26651249,18798.11,0.51,12.2,0xb2a
25940.250342861,33.27020965,-101.86628608,41016.65,1.61,7.2,0x41e
25940.299192193,33.22322647,-98.61263334,26359.75,0.47,11.5,0xb28
25940.356939847,33.5242301,-101.36156881,42833.89,0.35,4.7,0xb24
25940.405420641,31.17089857,-100.28002526,17955.16,0.05,8.4,0xa2a
25940.495081204,31.16557448,-100.27678142,17579.78,1.14,18.0,0xbce
25940.660144439,31.16510432,-100.24141695,9707.0,0.26,12.0,0xa0e
25940.770626425,33.10152127,-100.1813114,371054.35,0.34,18.1,0x964
25941.586988572,33.27629196,-102.00765388,91610.11,0.93,5.4,0x1a6
25943.1347027,32.94483701,-102.37204631,180070.28,0.58,14.5,0x29c
25943.226353163,31.85558143,-99.20354056,12334.83,1.29,10.0,0x32a
25943.240222626,31.87701552,-99.23196858,12653.45,0.07,15.3,0xb2e
