Data: time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
25824.79782233,33.58684683,-101.58249621,16291.86,0.84,-3.4,0x90e
25824.871771244,33.62701959,-102.11471659,24874.81,0.03,-9.5,0x8aa
25824.950898492,33.74937111,-101.89160798,10805.48,0.45,3.7,0x790
25825.312731738,31.11778696,-100.3417961,18858.16,0.22,10.8,0xb2a
25825.372449783,31.17941355,-100.3709821,8625.5,1.53,11.5,0x32a
25825.721440258,31.14275621,-100.36264675,12966.14,0.31,16.7,0xb6e
25825.748488388,33.78312706,-101.46869377,5745.17,0.42,-8.8,0x30e
25825.764850498,33.12313124,-98.44117845,9689.33,0.91,11.3,0x32a
25826.03858922,31.39642118,-100.51101299,7062.02,1.51,10.7,0xa2a
25826.131511296,31.25224129,-100.17733565,19006.25,0.09,14.8,0xb2a
25826.234017099,31.23316835,-100.15685277,8371.9,1.12,13.6,0x12e
25826.256814405,31.33314483,-100.24233727,16354.33,0.01,10.7,0x32a
25826.275241125,31.12214594,-99.96697299,85543.26,0.14,10.9,0xc0e
25826.30633665,31.31042899,-100.26393017,17813.77,0.03,12.3,0xb2a
25826.316992924,33.65512377,-101.92040489,34547.29,1.3,-2.8,0xd0a
25826.344994627,31.42000227,-100.20102126,19682.43,0.15,7.6,0xa2a
25826.358280997,31.43417442,-100.19315194,15722.61,1.87,9.3,0xb2a
25826.562507445,31.32861845,-100.29472052,14062.13,0.0,13.3,0xb2a
25826.784887138,31.94640963,-99.2859077,8147.78,0.16,12.0,0x32a
25826.787669319,31.96077933,-99.30206535,8450.79,0.25,14.1,0x32e
25826.805741931,31.98188536,-99.35010505,8008.77,0.99,11.2,0x32a
25826.811280685,31.96650848,-99.28490383,9074.13,0.09,11.6,0x32a
25826.825494133,31.96237275,-99.25855949,19635.59,0.24,11.0,0x32a
25826.836565763,31.94649661,-99.24595802,14204.89,0.16,10.3,0x32a
25826.837205742,31.94966269,-99.25179926,9578.54,0.08,13.5,0x32a
25826.956580371,31.94237642,-99.31183472,9223.93,0.53,9.0,0x32a
25826.963465079,31.56176189,-98.81307363,69144.73,0.0,11.2,0xa2c
25826.966617503,31.91722184,-99.28448377,17467.14,0.59,10.7,0x32a
25826.990994446,31.95288239,-99.24979806,15192.4,0.29,10.6,0x32a
25827.147468348,31.95627384,-99.24338937,9480.51,0.23,11.0,0x32a
25827.202730176,33.59899134,-101.28688746,65287.13,0.01,5.2,0x2d8
25827.235207057,31.96585257,-99.32106142,12871.2,0.91,18.2,0xb2e
25827.349325732,33.91818628,-101.02553628,41722.26,0.09,0.0,0xb0c
25827.354337863,32.04084528,-99.33654868,35914.95,0.53,15.9,0x16c
25827.369190942,31.99839856,-99.25861851,9567.93,0.11,15.8,0x32e
25827.508740763,31.88375559,-99.38997376,17393.79,1.38,12.5,0xb2a
25828.111993517,33.94731207,-102.40203302,10690.64,1.55,9.2,0x8d4
25828.236401022,31.16441603,-100.30197833,14502.6,0.17,16.0,0xb2e
25828.246156801,31.17309982,-100.30612078,15208.54,0.27,15.0,0xb2e
25828.449220657,31.20308655,-100.28332454,11015.42,0.09,12.5,0x32a
25828.449487836,31.17586274,-100.26599011,14491.51,0.57,16.7,0x92e
25828.562223542,30.60318313,-100.04310645,47702.15,0.0,23.8,0x346
25828.563237179,33.56799245,-101.25202185,38972.87,1.17,0.7,0xb24
25828.588387557,29.27640239,-99.07689563,47963.84,1.1,27.6,0x82e
25828.613370398,33.58978093,-101.69509805,17723.16,0.17,-5.5,0x34a
25828.63708295,31.21756822,-100.33679829,13712.08,0.11,19.6,0xb2a
25828.691905652,31.23408046,-100.34788081,8647.99,0.28,19.6,0x32e
25828.746586882,31.15457711,-100.30647017,12395.68,1.93,16.9,0xb4e
25828.779956586,31.27604498,-100.37717441,8331.91,1.58,17.2,0xb68
25830.117722535,33.7162773,-101.08029713,14432.93,0.21,-1.4,0x70a
25830.246016996,33.75738704,-101.29203008,11127.98,0.39,-6.0,0x38a
25830.296332717,35.25738167,-100.75183032,163180.95,1.4,13.9,0x8e4
25830.571832291,33.72404491,-102.22062338,32214.66,1.83,8.5,0xa54
25831.071741204,33.80384742,-101.74424311,24403.32,0.01,-3.2,0xb50
25831.722611257,33.9581154,-101.30017978,75919.41,0.29,0.2,0xaa2
25833.726938534,33.06308194,-98.03562249,11357.76,1.97,10.9,0xb0a
25833.754584732,33.12780353,-98.34289203,10472.81,1.91,11.8,0xb2a
25833.786702407,33.53252707,-101.65060737,11575.01,0.14,0.4,0x6d0
25835.249581718,31.91025845,-99.26779962,15083.61,0.9,11.1,0x32a
